Timestamp,Value,Type
4:10:01 pm.415,"Distance: 211.58 cm\r\n",received
4:10:03 pm.428,"Distance: 211.12 cm\r\n",received
4:10:05 pm.479,"Distance: 211.12 cm\r\n",received
4:10:07 pm.569,"Distance: 211.09 cm\r\n",received
4:10:09 pm.664,"Distance: 210.77 cm\r\n",received
4:10:11 pm.583,"Distance: 210.66 cm\r\n",received
4:10:13 pm.726,"Distance: 210.70 cm\r\n",received
4:10:15 pm.654,"Distance: 210.39 cm\r\n",received
4:10:17 pm.706,"Distance: 210.22 cm\r\n",received
4:10:19 pm.743,"Distance: 210.66 cm\r\n",received
4:10:21 pm.791,"Distance: 212.40 cm\r\n",received
4:10:23 pm.870,"Distance: 212.91 cm\r\n",received
4:10:25 pm.871,"Distance: 211.23 cm\r\n",received
4:10:27 pm.955,"Distance: 210.71 cm\r\n",received
4:10:29 pm.952,"Distance: 211.09 cm\r\n",received
4:10:32 pm.80,"Distance: 210.65 cm\r\n",received
4:10:34 pm.44,"Distance: 212.81 cm\r\n",received
4:10:36 pm.78,"Distance: 211.07 cm\r\n",received
4:10:38 pm.114,"Distance: 211.07 cm\r\n",received
4:10:40 pm.193,"Distance: 211.05 cm\r\n",received
4:10:42 pm.198,"Distance: 210.75 cm\r\n",received
4:10:44 pm.239,"Distance: 210.80 cm\r\n",received
4:10:46 pm.370,"Distance: 211.58 cm\r\n",received
4:10:48 pm.324,"Distance: 210.31 cm\r\n",received
4:10:50 pm.412,"Distance: 210.71 cm\r\n",received
4:10:52 pm.402,"Distance: 210.70 cm\r\n",received
4:10:54 pm.485,"Distance: 212.06 cm\r\n",received
4:10:56 pm.482,"Distance: 210.80 cm\r\n",received
4:10:58 pm.522,"Distance: 210.82 cm\r\n",received
4:11:00 pm.565,"Distance: 211.57 cm\r\n",received
4:11:02 pm.597,"Distance: 211.14 cm\r\n",received
4:11:04 pm.645,"Distance: 210.60 cm\r\n",received
4:11:06 pm.677,"Distance: 211.07 cm\r\n",received
4:11:08 pm.725,"Distance: 212.79 cm\r\n",received
4:11:10 pm.762,"Distance: 210.32 cm\r\n",received
4:11:12 pm.856,"Distance: 211.19 cm\r\n",received
4:11:14 pm.848,"Distance: 211.17 cm\r\n",received
4:11:16 pm.947,"Distance: 211.16 cm\r\n",received
4:11:18 pm.926,"Distance: 211.17 cm\r\n",received
4:11:21 pm.19,"Distance: 210.77 cm\r\n",received
4:11:23 pm.107,"Distance: 210.75 cm\r\n",received
4:11:25 pm.50,"Distance: 211.21 cm\r\n",received
4:11:27 pm.227,"Distance: 210.29 cm\r\n",received
4:11:29 pm.139,"Distance: 212.06 cm\r\n",received
4:11:31 pm.210,"Distance: 210.78 cm\r\n",received
4:11:33 pm.216,"Distance: 211.17 cm\r\n",received
4:11:35 pm.356,"Distance: 210.66 cm\r\n",received
4:11:37 pm.296,"Distance: 210.34 cm\r\n",received
4:11:39 pm.419,"Distance: 211.24 cm\r\n",received
4:11:41 pm.373,"Distance: 212.52 cm\r\n",received
4:11:43 pm.424,"Distance: 210.82 cm\r\n",received
4:11:45 pm.508,"Distance: 210.77 cm\r\n",received
4:11:47 pm.559,"Distance: 210.34 cm\r\n",received
4:11:49 pm.550,"Distance: 211.21 cm\r\n",received
4:11:51 pm.610,"Distance: 210.65 cm\r\n",received
4:11:53 pm.648,"Distance: 210.66 cm\r\n",received
4:11:55 pm.663,"Distance: 212.41 cm\r\n",received
4:11:57 pm.819,"Distance: 210.82 cm\r\n",received
4:11:59 pm.740,"Distance: 210.66 cm\r\n",received
4:12:01 pm.882,"Distance: 210.78 cm\r\n",received
4:12:03 pm.823,"Distance: 211.26 cm\r\n",received
4:12:05 pm.864,"Distance: 210.24 cm\r\n",received
4:12:07 pm.979,"Distance: 211.96 cm\r\n",received
4:12:09 pm.946,"Distance: 212.93 cm\r\n",received
